856FDCDD	Free launch: optimizing GPU dynamic kernel launches through thread reuse	free launch optimizing gpu dynamic kernel launches through thread reuse	2015	2015/12/05	10.1145/2830772.2830818	international symposium on microarchitecture	micro		4499A295	19555
853972FE	A scalable architecture for ordered parallelism	a scalable architecture for ordered parallelism	2015	2015/12/05	10.1145/2830772.2830777	international symposium on microarchitecture	micro		4499A295	19555
7ACF75B9	The Performance Vulnerability of Architectural and Non-architectural Arrays to Permanent Faults	the performance vulnerability of architectural and non architectural arrays to permanent faults	2012	2012/12/01		international symposium on microarchitecture	micro		4499A295	19555
8590E8ED	Microarchitecture in the system-level integration era	microarchitecture in the system level integration era	2008	2008/11	10.1109/MICRO.2008.4771772	international symposium on microarchitecture	micro		4499A295	19555
854A8E46	MORC: a manycore-oriented compressed cache	morc a manycore oriented compressed cache	2015	2015/12/05	10.1145/2830772.2830828	international symposium on microarchitecture	micro		4499A295	19555
85E8BF88	Proceedings of the 30th annual ACM/IEEE international symposium on Microarchitecture	proceedings of the 30th annual acm ieee international symposium on microarchitecture	1997	1997/12/01		international symposium on microarchitecture	micro		4499A295	17352
765EB7C8	Using ECC Feedback to Guide Voltage Speculation in Low-Voltage Processors	using ecc feedback to guide voltage speculation in low voltage processors	2014	2014/12/13	10.1109/MICRO.2014.54	international symposium on microarchitecture	micro		4499A295	17645
805C764E	Flexible and Efficient Instruction-Grained Run-Time Monitoring Using On-Chip Reconfigurable Fabric	flexible and efficient instruction grained run time monitoring using on chip reconfigurable fabric	2010	2010/12/04	10.1109/MICRO.2010.17	international symposium on microarchitecture	micro		4499A295	19185
8104F6A3	Understanding the Energy Consumption of Dynamic Random Access Memories	understanding the energy consumption of dynamic random access memories	2010	2010/12/04	10.1109/MICRO.2010.42	international symposium on microarchitecture	micro		4499A295	18413
8169591F	ASR: Adaptive Selective Replication for CMP Caches	asr adaptive selective replication for cmp caches	2006	2006/12/09	10.1109/MICRO.2006.10	international symposium on microarchitecture	micro		4499A295	17667
80514EF6	Improving SIMT Efficiency of Global Rendering Algorithms with Architectural Support for Dynamic Micro-Kernels	improving simt efficiency of global rendering algorithms with architectural support for dynamic micro kernels	2010	2010/12/04	10.1109/MICRO.2010.45	international symposium on microarchitecture	micro		4499A295	19288
78B23A16	Accurate Fine-Grained Processor Power Proxies	accurate fine grained processor power proxies	2012	2012/12/01	10.1109/MICRO.2012.29	international symposium on microarchitecture	micro		4499A295	19187
80433182	Architectural Support for Fair Reader-Writer Locking	architectural support for fair reader writer locking	2010	2010/12/04	10.1109/MICRO.2010.12	international symposium on microarchitecture	micro		4499A295	19344
7988AAB5	SMARQ: Software-Managed Alias Register Queue for Dynamic Optimizations	smarq software managed alias register queue for dynamic optimizations	2012	2012/12/01	10.1109/MICRO.2012.46	international symposium on microarchitecture	micro		4499A295	19555
81288CAE	Many-Thread Aware Prefetching Mechanisms for GPGPU Applications	many thread aware prefetching mechanisms for gpgpu applications	2010	2010/12/04	10.1109/MICRO.2010.44	international symposium on microarchitecture	micro		4499A295	19117
7A656105	Loop-Aware Memory Prefetching Using Code Block Working Sets	loop aware memory prefetching using code block working sets	2014	2014/12/13		international symposium on microarchitecture	micro		4499A295	19528
8541A9D8	DCS: a fast and scalable device-centric server architecture	dcs a fast and scalable device centric server architecture	2015	2015/12/05	10.1145/2830772.2830794	international symposium on microarchitecture	micro		4499A295	19555
85EF44CA	Virtual tree coherence: Leveraging regions and in-network multicast trees for scalable cache coherence	virtual tree coherence leveraging regions and in network multicast trees for scalable cache coherence	2008	2008/11	10.1109/MICRO.2008.4771777	international symposium on microarchitecture	micro		4499A295	19555
853EF283	Rubik: fast analytical power management for latency-critical systems	rubik fast analytical power management for latency critical systems	2015	2015/12/05	10.1145/2830772.2830797	international symposium on microarchitecture	micro		4499A295	19555
7F80C092	STEM: Spatiotemporal Management of Capacity for Intra-core Last Level Caches	stem spatiotemporal management of capacity for intra core last level caches	2010	2010/12/04	10.1109/MICRO.2010.31	international symposium on microarchitecture	micro		4499A295	19329
7E4DC0A4	Single-Chip Multiprocessors: The Next Wave of Computer Architecture Innovation	single chip multiprocessors the next wave of computer architecture innovation	2004	2004/12/04	10.1109/MICRO.2004.32	international symposium on microarchitecture	micro		4499A295	17623
7CA7925A	Futility Scaling: High-Associativity Cache Partitioning	futility scaling high associativity cache partitioning	2014	2014/12/13	10.1109/MICRO.2014.46	international symposium on microarchitecture	micro		4499A295	19494
7BEECF9E	Managing GPU Concurrency in Heterogeneous Architectures	managing gpu concurrency in heterogeneous architectures	2014	2014/12/13	10.1109/MICRO.2014.62	international symposium on microarchitecture	micro		4499A295	17640
7604171C	CoScale: Coordinating CPU and Memory System DVFS in Server Systems	coscale coordinating cpu and memory system dvfs in server systems	2012	2012/12/01	10.1109/MICRO.2012.22	international symposium on microarchitecture	micro		4499A295	19105
7CAB0653	Amoeba-Cache: Adaptive Blocks for Eliminating Waste in the Memory Hierarchy	amoeba cache adaptive blocks for eliminating waste in the memory hierarchy	2012	2012/12/01		international symposium on microarchitecture	micro		4499A295	19264
5B177838	Run-time Reconfigurable Cluster of Processors	run time reconfigurable cluster of processors	2008	2008		international symposium on microarchitecture	micro		4499A295	19555
7A43CF8B	Message from HASP 2012 Organizers	message from hasp 2012 organizers	2012	2012/12		international symposium on microarchitecture	micro		4499A295	19555
80CB352F	ReSlice: Selective Re-Execution of Long-Retired Misspeculated Instructions Using Forward Slicing	reslice selective re execution of long retired misspeculated instructions using forward slicing	2005	2005/11/12		international symposium on microarchitecture	micro		4499A295	19004
857E142F	Avoiding information leakage in the memory controller with fixed service policies	avoiding information leakage in the memory controller with fixed service policies	2015	2015/12/05	10.1145/2830772.2830795	international symposium on microarchitecture	micro		4499A295	19555
7AD88536	NoCAlert: An On-Line and Real-Time Fault Detection Mechanism for Network-on-Chip Architectures	nocalert an on line and real time fault detection mechanism for network on chip architectures	2012	2012/12/01	10.1109/MICRO.2012.15	international symposium on microarchitecture	micro		4499A295	17492
859CE9FF	Online design bug detection: RTL analysis, flexible mechanisms, and evaluation	online design bug detection rtl analysis flexible mechanisms and evaluation	2008	2008/11	10.1109/MICRO.2008.4771798	international symposium on microarchitecture	micro		4499A295	19555
854273B0	WarpPool: sharing requests with inter-warp coalescing for throughput processors	warppool sharing requests with inter warp coalescing for throughput processors	2015	2015/12/05	10.1145/2830772.2830830	international symposium on microarchitecture	micro		4499A295	19555
7F1098CA	Dynamic acceleration of multithreaded program critical paths in near-threshold systems	dynamic acceleration of multithreaded program critical paths in near threshold systems	2012	2012/12	10.1109/MICROW.2012.18	international symposium on microarchitecture	micro		4499A295	19469
77FD3585	Improving branch predictors by correlating on data values	improving branch predictors by correlating on data values	1999	1999/11/16	10.1109/MICRO.1999.809440	international symposium on microarchitecture	micro		4499A295	18572
75E8BE71	Managing Wire Delay in Large Chip-Multiprocessor Caches	managing wire delay in large chip multiprocessor caches	2004	2004/12/04		international symposium on microarchitecture	micro		4499A295	16720
851C01B4	Microarchitectural implications of event-driven server-side web applications	microarchitectural implications of event driven server side web applications	2015	2015/12/05	10.1145/2830772.2830792	international symposium on microarchitecture	micro		4499A295	19555
